Codigo | Nombre | Path | Padre | Fecha | Raiz
077.PB001 - Desconexión programada de LMRP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB001 - Desconexión programada de LMRP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB015 - Desconexión del tramo de aterrizaje y colocación en piso de perforación -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB015 - Desconexión del tramo de aterrizaje y colocación en piso de perforación -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB016 - Retiro  de araña y gimbal (cardán) del piso de perforación -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB016 - Retiro  de araña y gimbal (cardán) del piso de perforación -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB017 - Manejo de riser del patio de tuberías a bahía de risers -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB017 - Manejo de riser del patio de tuberías a bahía de risers -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB018 - Peso completo del conjunto de BOPs con los cilindros DAT fuera de la junta telescópica -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB018 - Peso completo del conjunto de BOPs con los cilindros DAT fuera de la junta telescópica -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB019 - Prueba de superficie del BOP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB019 - Prueba de superficie del BOP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB020 - Desplazamiento del BOP a la posición de reposo -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB020 - Desplazamiento del BOP a la posición de reposo -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB021 - Recuperación de conjunto de BOP´s, riser y derivador -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB021 - Recuperación de conjunto de BOP´s, riser y derivador -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB022 - Instalación líneas estrangular, matar, booster R.01 (24-Jun-13).pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB022 - Instalación líneas estrangular, matar, booster R.01 (24-Jun-13).pdf | Submarino PDF | 15-12-2013 | Procedimientos\Submarino PDF
077.PB023 - Instalación de la junta de aterrizaje (en modo ahorrador de viaje) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB023 - Instalación de la junta de aterrizaje (en modo ahorrador de viaje) -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB024 - Deslizamiento de la unidad ahorradora de viajes -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB024 - Deslizamiento de la unidad ahorradora de viajes -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB025 - Movimiento del BOP de la posición de reposo al centro del pozo -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB025 - Movimiento del BOP de la posición de reposo al centro del pozo -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB026 - Instalación de abrazaderas para cable de control MUX -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB026 - Instalación de abrazaderas para cable de control MUX -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB027 - Instalación del anillo de carga a la junta telescópica -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB027 - Instalación del anillo de carga a la junta telescópica -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB028 - Instalación del Arbol de Navidad -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB028 - Instalación del Arbol de Navidad -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB029 - Lubricación del Árbol de Estrangulación y Matar -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB029 - Lubricación del Árbol de Estrangulación y Matar -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB030 - Control Acústico del Sistema BOP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB030 - Control Acústico del Sistema BOP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB031 - Calibración y armado del sensor de monitoreo de ángulo del riser en TP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB031 - Calibración y armado del sensor de monitoreo de ángulo del riser en TP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB032 -  Suspensión controlada y desconexión de emergencia mientras este fuera sin Tubulares  BOP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB032 -  Suspensión controlada y desconexión de emergencia mientras este fuera sin Tubulares  BOP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB033 - Prueba de Presión de la Líneas de Servicio del Riser -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB033 - Prueba de Presión de la Líneas de Servicio del Riser -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB034 - Remover el Anillo de Carga del sistema DAT a la junta telescópica -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB034 - Remover el Anillo de Carga del sistema DAT a la junta telescópica -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB035 - Recuperación del ensamble derivador y BOP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB035 - Recuperación del ensamble derivador y BOP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB036 - Armado y Apretado del 1er tramo del riser. Prueba de líneas auxiliares. -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB036 - Armado y Apretado del 1er tramo del riser. Prueba de líneas auxiliares. -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB037 - Instalación Para Operación Fuera de Línea en Grúa de BOP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB037 - Instalación Para Operación Fuera de Línea en Grúa de BOP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB038 - Instalación del Equipo de Manejo del Riser -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB038 - Instalación del Equipo de Manejo del Riser -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB039 - Manejar  Asegurar BOP y Pruebas  Calibraciones Asociadas -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB039 - Manejar  Asegurar BOP y Pruebas  Calibraciones Asociadas -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB040 - Extender la Junta Telescópica al Gimbal, Levantar el Diverter y aterrizarlo en el Alojamiento -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB040 - Extender la Junta Telescópica al Gimbal, Levantar el Diverter y aterrizarlo en el Alojamiento -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB041 - Desenganchar los BOPs del Cabezal de Pozo. -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB041 - Desenganchar los BOPs del Cabezal de Pozo. -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB042 - Controlar hidratos en el conector de cabezal R.01 (22-Ago-13) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB042 - Controlar hidratos en el conector de cabezal R.01 (22-Ago-13) nc.pdf | Submarino PDF | 03-02-2014 | Procedimientos\Submarino PDF
077.PB042 - Procedimiento para controlar los hidratos en el conector de cabezal -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB042 - Procedimiento para controlar los hidratos en el conector de cabezal -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB043 - Procedimiento para purgar mini conectores R.00 (02-May-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB043 - Procedimiento para purgar mini conectores R.00 (02-May-14) nc.pdf | Submarino PDF | 29-05-2014 | Procedimientos\Submarino PDF
077.PD098 - Pesca enhebrada R.01 (11-Nov-13)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PD098 - Pesca enhebrada R.01 (11-Nov-13)-nc.pdf | Submarino PDF | 03-02-2014 | Procedimientos\Submarino PDF
Thumbs.db | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\Thumbs.db | Submarino PDF | 10-11-2012 | Procedimientos\Submarino PDF
~$7.PB019 - Prueba de superficie del BOP.docx | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\~$7.PB019 - Prueba de superficie del BOP.docx | Procedimientos | 10-11-2012 | Procedimientos
~$7.PB020 - Desplazamiento del BOP a la posición de reposo.docx | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\~$7.PB020 - Desplazamiento del BOP a la posición de reposo.docx | Procedimientos | 10-11-2012 | Procedimientos
077.PB001 - Plan disconnect of LMRP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB001 - Plan disconnect of LMRP -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB002 - Casing shear ram test on 80 pound pipe -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB002 - Casing shear ram test on 80 pound pipe -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB003 - Emergency disconnect of LMRP, retrieve fish and connect -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB003 - Emergency disconnect of LMRP, retrieve fish and connect -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB004 - Handling riser pup joint and fill up valve -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB004 - Handling riser pup joint and fill up valve -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB005 - Installing riser running tool -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB005 - Installing riser running tool -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB006 - Riser recoil test -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB006 - Riser recoil test -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB007 - Simulated  landing of the BOP use dat cylinders CMC & AHC -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB007 - Simulated  landing of the BOP use dat cylinders CMC & AHC -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB010 - Installing spider & gimble -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB010 - Installing spider & gimble -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB011 - Pressure testing of surface well control equipment -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB011 - Pressure testing of surface well control equipment -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB012 - Rig up & Run up BOP R.01 (31-Mar-14)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB012 - Rig up & Run up BOP R.01 (31-Mar-14)-nc.pdf | Subsea PDF | 05-04-2014 | Procedures\Subsea PDF
077.PB013 - Running slip joint -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB013 - Running slip joint -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB014 - Casing shear ram test on 40 pound pipe -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB014 - Casing shear ram test on 40 pound pipe -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB015 - Disconnect landing joint & pull onto rig floor -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB015 - Disconnect landing joint & pull onto rig floor -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB016 - Removal of spider & gimble off of rig floor -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB016 - Removal of spider & gimble off of rig floor -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB017 - Riser handling from pipe deck to riser set back -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB017 - Riser handling from pipe deck to riser set back -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB018 - Support all the BOP string weight with the DAT cylinder -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB018 - Support all the BOP string weight with the DAT cylinder -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB019 - BOP surface test -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB019 - BOP surface test -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB020 - Moving BOP to parking position -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB020 - Moving BOP to parking position -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB021 - Retrieving the BOP stack assembly, riser & diverter -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB021 - Retrieving the BOP stack assembly, riser & diverter -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB022 - Installing choke, kill boost & conduit lines R.01 (24-Jun-13).pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB022 - Installing choke, kill boost & conduit lines R.01 (24-Jun-13).pdf | Subsea PDF | 15-12-2013 | Procedures\Subsea PDF
077.PB023 - Install landing joint (in trip saver mode) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB023 - Install landing joint (in trip saver mode) -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB024 - Skidding of trip saver -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB024 - Skidding of trip saver -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB025 - Handling BOP from parked position to well center & prepare to run -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB025 - Handling BOP from parked position to well center & prepare to run -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB026 - Installing MUX cable clamps -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB026 - Installing MUX cable clamps -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB027 - Installing tensioner ring on slip joint -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB027 - Installing tensioner ring on slip joint -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB028 - Running X-mas tree -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB028 - Running X-mas tree -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB029 - Lubricate choke & kill manifold -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB029 - Lubricate choke & kill manifold -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB030 - Acoustic control of BOP system -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB030 - Acoustic control of BOP system -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB031 - Calibration and Set Up of Riser Angle Monitoring Sensors on DP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB031 - Calibration and Set Up of Riser Angle Monitoring Sensors on DP -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB032 - Controlled Hang Off and Emergency Disconnect while out of the Hole with no Tubulars across BOP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB032 - Controlled Hang Off and Emergency Disconnect while out of the Hole with no Tubulars across BOP -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB033 - Pressure testing riser service lines -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB033 - Pressure testing riser service lines -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB034 - Removing DATs load ring from telescopic joint -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB034 - Removing DATs load ring from telescopic joint -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB035 - Retrieving diverter assembly and BOP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB035 - Retrieving diverter assembly and BOP -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB036 - Rig up and make 1st joint riser. Text auxiliary lines -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB036 - Rig up and make 1st joint riser. Text auxiliary lines -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB037 - Rig up for off line operation at BOP crane -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB037 - Rig up for off line operation at BOP crane -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB038 - Rig up riser handling equipment -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB038 - Rig up riser handling equipment -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB039 - Running-latching BOP and associated testing calibrations -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB039 - Running-latching BOP and associated testing calibrations -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB040 - Scope slip joint to gimble, pick up diverter and land out on the diverter housing -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB040 - Scope slip joint to gimble, pick up diverter and land out on the diverter housing -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB041 - Unlatch BOPs from well head -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB041 - Unlatch BOPs from well head -nc.pdf | Subsea PDF | 07-07-2013 | Procedures\Subsea PDF
077.PB042 - Control hydrates in wellhead connector R.01 (22-Aug-13)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB042 - Control hydrates in wellhead connector R.01 (22-Aug-13)-nc.pdf | Subsea PDF | 03-02-2014 | Procedures\Subsea PDF
077.PB043 - Procedure to purge mini connectors R.00 (02-May-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PB043 - Procedure to purge mini connectors R.00 (02-May-14) nc.pdf | Subsea PDF | 29-05-2014 | Procedures\Subsea PDF
077.PD098 - Stripping over wire line R.01 (11-Nov-13)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\077.PD098 - Stripping over wire line R.01 (11-Nov-13)-nc.pdf | Subsea PDF | 03-02-2014 | Procedures\Subsea PDF
Thumbs.db | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedures\Subsea PDF\Thumbs.db | Subsea PDF | 28-08-2013 | Procedures\Subsea PDF
