Codigo | Nombre | Path | Padre | Fecha | Raiz
MGS01.L04 onboard training attendance record - registro de entrenamiento abordo.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L04 onboard training attendance record - registro de entrenamiento abordo.docx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS02.F07 - Illness Report -Reporte de enfermedad.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F07 - Illness Report -Reporte de enfermedad.xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F08 - Programa de Salud Ocupacional Bicentenario R.01 (23-Oct-13).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F08 - Programa de Salud Ocupacional Bicentenario R.01 (23-Oct-13).xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F09 - Ficha de Resumen de pacientes Bicentenario R.01 (23-Oct-13).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F09 - Ficha de Resumen de pacientes Bicentenario R.01 (23-Oct-13).xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F10 - Incident Report R.01 (23-Oct-13).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F10 - Incident Report R.01 (23-Oct-13).xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F11 - Informe Final de Guardia (23-Oct-13).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F11 - Informe Final de Guardia (23-Oct-13).xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS03.F01 - Entrenamiento Primeros Auxilios.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS03\MGS03.F01 - Entrenamiento Primeros Auxilios.docx | MGS03 | 25-04-2014 | 1-. Formatos\MGS03
MGS03.L02 - First Aid Kit Supervision List.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS03\MGS03.L02 - First Aid Kit Supervision List.docx | MGS03 | 25-04-2014 | 1-. Formatos\MGS03
071.FS03 - Cold Work Permit IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\Permisos de Trabajo\071.FS03 - Cold Work Permit IPC.xlsx | Permisos de Trabajo | 10-07-2013 | 1-. Formatos\Permisos de Trabajo
071.FS04 - Confined Space Permit IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\Permisos de Trabajo\071.FS04 - Confined Space Permit IPC.xlsx | Permisos de Trabajo | 10-07-2013 | 1-. Formatos\Permisos de Trabajo
071.FS06 - Hot Work Permit IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\Permisos de Trabajo\071.FS06 - Hot Work Permit IPC.xlsx | Permisos de Trabajo | 10-07-2013 | 1-. Formatos\Permisos de Trabajo
071.FS07 - Gas Test Certificate IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\Permisos de Trabajo\071.FS07 - Gas Test Certificate IPC.xlsx | Permisos de Trabajo | 10-07-2013 | 1-. Formatos\Permisos de Trabajo
MGS01.L07 - Isolation Form IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\Permisos de Trabajo\MGS01.L07 - Isolation Form IPC.xlsx | Permisos de Trabajo | 10-07-2013 | 1-. Formatos\Permisos de Trabajo
MGS01.L07 Isolation certificate Bicentenario R.01.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\Permisos de Trabajo\MGS01.L07 Isolation certificate Bicentenario R.01.xlsx | Permisos de Trabajo | 10-07-2013 | 1-. Formatos\Permisos de Trabajo
063.PS009 - FORMATOS -Inducción al personal (18-Sep-12).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\063.PS009 - FORMATOS -Inducción al personal (18-Sep-12).xlsx | 1-. Formatos | 10-07-2013 | 1-. Formatos
071.FS01 -  AST - JSA IPC.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\071.FS01 -  AST - JSA IPC.docx | 1-. Formatos | 10-07-2013 | 1-. Formatos
071.FS01 SJA - ATS.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\071.FS01 SJA - ATS.xlsx | 1-. Formatos | 10-07-2013 | 1-. Formatos
071.FS03 - Cold Work Permit IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\071.FS03 - Cold Work Permit IPC.xlsx | 1-. Formatos | 29-05-2014 | 1-. Formatos
071.FS04 - Confined Space Permit IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\071.FS04 - Confined Space Permit IPC.xlsx | 1-. Formatos | 29-05-2014 | 1-. Formatos
071.FS06 - Hot Work Permit IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\071.FS06 - Hot Work Permit IPC.xlsx | 1-. Formatos | 29-05-2014 | 1-. Formatos
071.FS07 - Gas Test Certificate IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\071.FS07 - Gas Test Certificate IPC.xlsx | 1-. Formatos | 29-05-2014 | 1-. Formatos
142.IS01.F01 - Formato Safety Observation Card (SOC) Rev.01 (17.Sep.12).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.IS01.F01 - Formato Safety Observation Card (SOC) Rev.01 (17.Sep.12).xlsx | 1-. Formatos | 10-07-2013 | 1-. Formatos
142.PS005.F01 - Portable Gas Detector Calibration Form (20-Sep-12).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F01 - Portable Gas Detector Calibration Form (20-Sep-12).xlsx | 1-. Formatos | 28-03-2014 | 1-. Formatos
142.PS005.F01 - Trabajo en Frio R.02 (25-Mar-15).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F01 - Trabajo en Frio R.02 (25-Mar-15).xlsx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F02 - Auditoria de permisos de trabajo (26-Feb-14).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F02 - Auditoria de permisos de trabajo (26-Feb-14).xlsx | 1-. Formatos | 28-03-2014 | 1-. Formatos
142.PS005.F02 - Auditoria de permisos de trabajo R.01 (28-Abr-14).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F02 - Auditoria de permisos de trabajo R.01 (28-Abr-14).xlsx | 1-. Formatos | 29-05-2014 | 1-. Formatos
142.PS005.F02 - Trabajos Calientes R.02 (25-Mar-15).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F02 - Trabajos Calientes R.02 (25-Mar-15).xlsx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F03 - Espacios Confinados R.02 (25-Mar-15).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F03 - Espacios Confinados R.02 (25-Mar-15).xlsx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F04 - Certificado de Analisis de Gas R.02 (25-Mar-15).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F04 - Certificado de Analisis de Gas R.02 (25-Mar-15).xlsx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F05 - Bitacora Calib Detectores de Gas- Portable Gas Detector Calib Log Book (25-Mar-15).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F05 - Bitacora Calib Detectores de Gas- Portable Gas Detector Calib Log Book (25-Mar-15).xlsx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F06 - Auditorias de Permisos de Trabajo - Permit to Work Audit R.02 (25-Mar-15).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F06 - Auditorias de Permisos de Trabajo - Permit to Work Audit R.02 (25-Mar-15).xlsx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F07 - Control de Registros para Permisos de Trabajo (10-Ago-15).doc | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F07 - Control de Registros para Permisos de Trabajo (10-Ago-15).doc | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F08 - Registro de Aislamiento (10-Ago-15).doc | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F08 - Registro de Aislamiento (10-Ago-15).doc | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS005.F09 - Cierre de Hallazgos de Aud Int (10-Ago-15).docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS005.F09 - Cierre de Hallazgos de Aud Int (10-Ago-15).docx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS013.F01 Certificado de Aislamiento R.03 (13-Ago-2015).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS013.F01 Certificado de Aislamiento R.03 (13-Ago-2015).xlsx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS013.F02  Listado de Aislamiento a Largo Plazo R.03 (13-Ago-15).docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS013.F02  Listado de Aislamiento a Largo Plazo R.03 (13-Ago-15).docx | 1-. Formatos | 30-10-2015 | 1-. Formatos
142.PS027.F01 Lista de Verificacion Equipo de Oxicorte - Oxycutting Equipment Check List (30-Nov-15).doc | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS027.F01 Lista de Verificacion Equipo de Oxicorte - Oxycutting Equipment Check List (30-Nov-15).doc | 1-. Formatos | 28-01-2016 | 1-. Formatos
142.PS05.F01 - Portable Gas Detector Calibration Form (20-Sep-12).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS05.F01 - Portable Gas Detector Calibration Form (20-Sep-12).xlsx | 1-. Formatos | 10-07-2013 | 1-. Formatos
142.PS13.F02 - Lista de aislamiento a largo plazo.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS13.F02 - Lista de aislamiento a largo plazo.xlsx | 1-. Formatos | 10-07-2013 | 1-. Formatos
142.PS16.F01 - Lista de revisión para equipo de compañía de servicio (tercería) (03-jun-12).xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\142.PS16.F01 - Lista de revisión para equipo de compañía de servicio (tercería) (03-jun-12).xlsx | 1-. Formatos | 10-07-2013 | 1-. Formatos
145.PS007.F01 Formato Reporte de Incidente Ambiental R.02 (21-Oct-15).docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\145.PS007.F01 Formato Reporte de Incidente Ambiental R.02 (21-Oct-15).docx | 1-. Formatos | 14-11-2015 | 1-. Formatos
145.PS007.F02 Reporte de Lesión o Enfermedad R.02 (21-Oct-15).docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\145.PS007.F02 Reporte de Lesión o Enfermedad R.02 (21-Oct-15).docx | 1-. Formatos | 14-11-2015 | 1-. Formatos
145.PS007.F05 Reporte Rápido - Flash Report R.03 (21-Oct-15).docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\145.PS007.F05 Reporte Rápido - Flash Report R.03 (21-Oct-15).docx | 1-. Formatos | 14-11-2015 | 1-. Formatos
145.PS007.F07 Reporte de Falla Operativa- Failure Report R.00 (21-Oct-15).docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\145.PS007.F07 Reporte de Falla Operativa- Failure Report R.00 (21-Oct-15).docx | 1-. Formatos | 14-11-2015 | 1-. Formatos
142.IS001 - Tarjeta de observación de seguridad (SOC) R.01 (17-Sep-12).pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Inst SSPA PDF No controlado\142.IS001 - Tarjeta de observación de seguridad (SOC) R.01 (17-Sep-12).pdf | Inst SSPA PDF No controlado | 10-07-2013 | Inst SSPA PDF No controlado
142.IS002 - Habilitado de andamios R.01 (26-Feb-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Inst SSPA PDF No controlado\142.IS002 - Habilitado de andamios R.01 (26-Feb-14) nc.pdf | Inst SSPA PDF No controlado | 28-03-2014 | Inst SSPA PDF No controlado
142.IS004 - Asignación y utilización del EPP R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Inst SSPA PDF No controlado\142.IS004 - Asignación y utilización del EPP R.01 (21-Jul-15) nc.pdf | Inst SSPA PDF No controlado | 28-07-2015 | Inst SSPA PDF No controlado
142.PS005 - Permisos de trabajos con riesgo R.04 (26-Feb-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Inst SSPA PDF No controlado\142.PS005 - Permisos de trabajos con riesgo R.04 (26-Feb-14) nc.pdf | Inst SSPA PDF No controlado | 28-03-2014 | Inst SSPA PDF No controlado
142.PS027 - Seguridad en trabajos de corte y soldadura (17-Sep-14) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Inst SSPA PDF No controlado\142.PS027 - Seguridad en trabajos de corte y soldadura (17-Sep-14) -nc.pdf | Inst SSPA PDF No controlado | 20-09-2014 | Inst SSPA PDF No controlado
142.IS001 - Safety observation card (SOC) instructive R.01 (17-Sep-12).pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Instr HSE PDF Uncontrolled\142.IS001 - Safety observation card (SOC) instructive R.01 (17-Sep-12).pdf | Instr HSE PDF Uncontrolled | 10-07-2013 | Instr HSE PDF Uncontrolled
142.IS002 - Instructions for rigging up scffolds R.01 (26-Feb-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Instr HSE PDF Uncontrolled\142.IS002 - Instructions for rigging up scffolds R.01 (26-Feb-14) nc.pdf | Instr HSE PDF Uncontrolled | 28-03-2014 | Instr HSE PDF Uncontrolled
142.IS004 - Assignment & use of PPE R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Instr HSE PDF Uncontrolled\142.IS004 - Assignment & use of PPE R.01 (21-Jul-15) nc.pdf | Instr HSE PDF Uncontrolled | 28-07-2015 | Instr HSE PDF Uncontrolled
142.PS005 - Procedure for Permits to work with risk R.04 (26-Feb-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Instr HSE PDF Uncontrolled\142.PS005 - Procedure for Permits to work with risk R.04 (26-Feb-14) nc.pdf | Instr HSE PDF Uncontrolled | 28-03-2014 | Instr HSE PDF Uncontrolled
MGS01 - Manual de SSPA R.03 (03.Jul.12).pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Manuales SSPA PDF No cont\MGS01 - Manual de SSPA R.03 (03.Jul.12).pdf | Manuales SSPA PDF No cont | 10-07-2013 | Manuales SSPA PDF No cont
MGS02 - Plan de Salud Ocupacional Bicentenario R.01 (23-Oct-2013)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Manuales SSPA PDF No cont\MGS02 - Plan de Salud Ocupacional Bicentenario R.01 (23-Oct-2013)-nc.pdf | Manuales SSPA PDF No cont | 06-11-2013 | Manuales SSPA PDF No cont
MGS03 - Manual de Primeros Auxilios R.02 (23-Jul-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Manuales SSPA PDF No cont\MGS03 - Manual de Primeros Auxilios R.02 (23-Jul-14) nc.pdf | Manuales SSPA PDF No cont | 27-07-2014 | Manuales SSPA PDF No cont
MGS01 - Safety, health & environmental protection manual R.03 (03-Jul-12) NC.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Manuals HSE PDF Uncontr\MGS01 - Safety, health & environmental protection manual R.03 (03-Jul-12) NC.pdf | Manuals HSE PDF Uncontr | 18-11-2013 | Manuals HSE PDF Uncontr
MGS02 - Plan de Salud Ocupacional Bicentenario R.01 (23-Oct-2013)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Manuals HSE PDF Uncontr\MGS02 - Plan de Salud Ocupacional Bicentenario R.01 (23-Oct-2013)-nc.pdf | Manuals HSE PDF Uncontr | 06-11-2013 | Manuals HSE PDF Uncontr
MGS03 - First Aid Manual R.02 (23-Jul-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Manuals HSE PDF Uncontr\MGS03 - First Aid Manual R.02 (23-Jul-14) nc.pdf | Manuals HSE PDF Uncontr | 27-07-2014 | Manuals HSE PDF Uncontr
Thumbs.db | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Manuals HSE PDF Uncontr\Thumbs.db | Manuals HSE PDF Uncontr | 28-08-2013 | Manuals HSE PDF Uncontr
063.PS009 - Induction for arrivals & when boarding a vessel R.01 (18.Sep.12).pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\063.PS009 - Induction for arrivals & when boarding a vessel R.01 (18.Sep.12).pdf | Proc HSE PDF Uncontrolled | 10-07-2013 | Proc HSE PDF Uncontrolled
122.PS001 - Pick Up with the DDM R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\122.PS001 - Pick Up with the DDM R.01 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
122.PS002 - Slip and Cut Drill Line R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\122.PS002 - Slip and Cut Drill Line R.01 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
122.PS003 - Main Firefighting System R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\122.PS003 - Main Firefighting System R.01 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
142.PS005 - Permit to Work with Risk Procedure R.06 (10-Aug-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS005 - Permit to Work with Risk Procedure R.06 (10-Aug-15) nc.pdf | Proc HSE PDF Uncontrolled | 29-01-2016 | Proc HSE PDF Uncontrolled
142.PS008 - Job Safety Analysis R.01 (24-Sep-14)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS008 - Job Safety Analysis R.01 (24-Sep-14)-nc.pdf | Proc HSE PDF Uncontrolled | 29-09-2014 | Proc HSE PDF Uncontrolled
142.PS010 - Handling and storing chemical substances R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS010 - Handling and storing chemical substances R.01 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
142.PS011 - Procedure for handling loads with the hands (03-Jun-12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS011 - Procedure for handling loads with the hands (03-Jun-12)-nc.pdf | Proc HSE PDF Uncontrolled | 10-07-2013 | Proc HSE PDF Uncontrolled
142.PS012 - Order and Cleanliness Procedure R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS012 - Order and Cleanliness Procedure R.01 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
142.PS013 - Isolation Energy  Procedure R.03 (25-Mar-15) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS013 - Isolation Energy  Procedure R.03 (25-Mar-15) -nc.pdf | Proc HSE PDF Uncontrolled | 17-06-2015 | Proc HSE PDF Uncontrolled
142.PS014 - Procedure for working in heights R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS014 - Procedure for working in heights R.01 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
142.PS015 - Confined Space Work Procedure Rev. 03 (30-Nov-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS015 - Confined Space Work Procedure Rev. 03 (30-Nov-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-01-2016 | Proc HSE PDF Uncontrolled
142.PS016 - Manage third companies, persons & equipment (03-Jun-12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS016 - Manage third companies, persons & equipment (03-Jun-12)-nc.pdf | Proc HSE PDF Uncontrolled | 10-07-2013 | Proc HSE PDF Uncontrolled
142.PS017 - Procedure for administration of changes R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS017 - Procedure for administration of changes R.01 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
142.PS018 - Handling & final disposal of combustible R.02 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS018 - Handling & final disposal of combustible R.02 (21-Jul-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-07-2015 | Proc HSE PDF Uncontrolled
142.PS026 - Procedure for HSE Meetings on board (04-Feb-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS026 - Procedure for HSE Meetings on board (04-Feb-15) nc.pdf | Proc HSE PDF Uncontrolled | 03-03-2015 | Proc HSE PDF Uncontrolled
142.PS027 - Safety in Cutt and Weld Jobs R.01 (30-Nov-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS027 - Safety in Cutt and Weld Jobs R.01 (30-Nov-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-01-2016 | Proc HSE PDF Uncontrolled
142.PS028 - Rope Access Rescue at Heights Procedure R.01 (30-Nov-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\142.PS028 - Rope Access Rescue at Heights Procedure R.01 (30-Nov-15) nc.pdf | Proc HSE PDF Uncontrolled | 28-01-2016 | Proc HSE PDF Uncontrolled
