Codigo | Nombre | Path | Padre | Fecha | Raiz
082.FT11 Reporte Semanal de Ejercicio de Emergencia.xlsx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\082.FT11\082.FT11 Reporte Semanal de Ejercicio de Emergencia.xlsx | 082.FT11 | 10-07-2013 | Formatos\082.FT11
080.LT01 Lista de verificacion de alerta azul.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT06\080.LT01 Lista de verificacion de alerta azul.docx | MGT06 | 10-07-2013 | Formatos\MGT06
080.LT02 Checklist for yellow alert.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT06\080.LT02 Checklist for yellow alert.doc | MGT06 | 10-07-2013 | Formatos\MGT06
080.LT02 Lista de verificacion de alerta amarilla.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT06\080.LT02 Lista de verificacion de alerta amarilla.docx | MGT06 | 10-07-2013 | Formatos\MGT06
080.LT03 Checklist of red alert.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT06\080.LT03 Checklist of red alert.doc | MGT06 | 10-07-2013 | Formatos\MGT06
080.LT03 Lista de verificacion de alerta roja.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT06\080.LT03 Lista de verificacion de alerta roja.docx | MGT06 | 10-07-2013 | Formatos\MGT06
MGT07.F01 RECORD OF SECURITY TRAINING, DRILLS AND EXERCISES.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F01 RECORD OF SECURITY TRAINING, DRILLS AND EXERCISES.docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F02 INCIDENT REPORT FORM.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F02 INCIDENT REPORT FORM.docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F03 AMENAZA BOMBA.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F03 AMENAZA BOMBA.docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F04 DECLARATION OF SECURITY (DoS) .docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F04 DECLARATION OF SECURITY (DoS) .docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F05 REGISTRO FAMILIARIZACION.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F05 REGISTRO FAMILIARIZACION.docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F06 PORT CALLS SECURITY LEVEL RECORD.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F06 PORT CALLS SECURITY LEVEL RECORD.docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F07 DAILY EVENTS LOG.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F07 DAILY EVENTS LOG.docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F08 VISITORS LOG.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F08 VISITORS LOG.docx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT07.F09 Control general de equipos.xlsx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT07\Formatos del ISPS\MGT07.F09 Control general de equipos.xlsx | Formatos del ISPS | 10-07-2013 | Formatos\MGT07\Formatos del ISPS
MGT08.L01 - Field Arrival Marine Checklist.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L01 - Field Arrival Marine Checklist.doc | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L02 - WSOG Well Specific Operations Guidelines.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L02 - WSOG Well Specific Operations Guidelines.docx | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L03 - Supply Boat Checklist R.01 (09-Sep-2013).docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L03 - Supply Boat Checklist R.01 (09-Sep-2013).docx | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L04 - Position Reference System Checklist.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L04 - Position Reference System Checklist.doc | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L05 - New Well Info Checklist.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L05 - New Well Info Checklist.doc | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L06 - Field Departure DP Checklist.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L06 - Field Departure DP Checklist.docx | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L07 - Passing non-shearables through BOP checklist.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L07 - Passing non-shearables through BOP checklist.doc | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L08 - Preparation for arrival in Port.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L08 - Preparation for arrival in Port.docx | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L09 - SHIFT HANDOVER REPORT.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L09 - SHIFT HANDOVER REPORT.doc | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L10 - Departure from Port Checklist.doc | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L10 - Departure from Port Checklist.doc | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L11 - DP Daily Operational Report.xlsx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L11 - DP Daily Operational Report.xlsx | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L12 - Bicentenario - 6 Hour DP Checklist R.00.xlsx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L12 - Bicentenario - 6 Hour DP Checklist R.00.xlsx | MGT08 | 23-04-2014 | Formatos\MGT08
MGT08.L13 - DP setup Checklist R.00.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08\MGT08.L13 - DP setup Checklist R.00.docx | MGT08 | 23-04-2014 | Formatos\MGT08
MGT09.F01 Maintenance Log of Cargo Securing Equipment  - Reg Mantto Eq Sujeción Carga.docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT09\MGT09.F01 Maintenance Log of Cargo Securing Equipment  - Reg Mantto Eq Sujeción Carga.docx | MGT09 | 10-07-2013 | Formatos\MGT09
082.FT10 Drills and exercises program Form.xlsx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\082.FT10 Drills and exercises program Form.xlsx | Formatos | 10-07-2013 | Formatos
542.FT09 Plan Simulacros Personal Tierra IPC.xlsx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\542.FT09 Plan Simulacros Personal Tierra IPC.xlsx | Formatos | 10-07-2013 | Formatos
Comunicación de emergencia Bicentenario (Mar-2015).pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\Comunicación de emergencia Bicentenario (Mar-2015).pdf | Formatos | 14-03-2015 | Formatos
Emergency Communication Bicentenario (Mar-2015).pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\Emergency Communication Bicentenario (Mar-2015).pdf | Formatos | 14-03-2015 | Formatos
MGT08.L03 - Supply Boat Checklist R.02 (07-Abr-2014).docx | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Formatos\MGT08.L03 - Supply Boat Checklist R.02 (07-Abr-2014).docx | Formatos | 22-07-2014 | Formatos
MGT01- SOPEP Plan de Emergencia de Contaminacion de Hidrocarburos a bordo (01-Oct-10) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Manuales Contingencias PDF No cont\MGT01- SOPEP Plan de Emergencia de Contaminacion de Hidrocarburos a bordo (01-Oct-10) -nc.pdf | Manuales Contingencias PDF No cont | 10-07-2013 | Manuales Contingencias PDF No cont
MGT02 - Manual de respuesta a emergencias R.03 (03-Mar-2015) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Manuales Contingencias PDF No cont\MGT02 - Manual de respuesta a emergencias R.03 (03-Mar-2015) nc.pdf | Manuales Contingencias PDF No cont | 14-03-2015 | Manuales Contingencias PDF No cont
MGT04 - Plan de manejo integral de residuos Bicentenario R.03 (08-May-14)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Manuales Contingencias PDF No cont\MGT04 - Plan de manejo integral de residuos Bicentenario R.03 (08-May-14)-nc.pdf | Manuales Contingencias PDF No cont | 22-09-2014 | Manuales Contingencias PDF No cont
MGT06 - Plan de respuesta a emergencia por huracanes R.03 (15-May-13) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Manuales Contingencias PDF No cont\MGT06 - Plan de respuesta a emergencia por huracanes R.03 (15-May-13) nc.pdf | Manuales Contingencias PDF No cont | 10-07-2013 | Manuales Contingencias PDF No cont
MGT08 - Manual de Operacion PD R.01 (07-Abr-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Manuales Contingencias PDF No cont\MGT08 - Manual de Operacion PD R.01 (07-Abr-14) nc.pdf | Manuales Contingencias PDF No cont | 05-03-2015 | Manuales Contingencias PDF No cont
MGT09 - Manual de trincado de carga para BICENTENARIO -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Manuales Contingencias PDF No cont\MGT09 - Manual de trincado de carga para BICENTENARIO -nc.pdf | Manuales Contingencias PDF No cont | 10-07-2013 | Manuales Contingencias PDF No cont
MGT01- SOPEP SHIPBOARD OIL POLLUTION EMERGENCY PLAN (01-OCT-10) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Marine Contingencies PDF Uncont\MGT01- SOPEP SHIPBOARD OIL POLLUTION EMERGENCY PLAN (01-OCT-10) -nc.pdf | Marine Contingencies PDF Uncont | 10-07-2013 | Marine Contingencies PDF Uncont
MGT02- Emergency Response Manual R.03 (03-Mar-2015) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Marine Contingencies PDF Uncont\MGT02- Emergency Response Manual R.03 (03-Mar-2015) nc.pdf | Marine Contingencies PDF Uncont | 14-03-2015 | Marine Contingencies PDF Uncont
MGT04 - Bicentenario Integral waste handling Plan R.03 (08-May-14)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Marine Contingencies PDF Uncont\MGT04 - Bicentenario Integral waste handling Plan R.03 (08-May-14)-nc.pdf | Marine Contingencies PDF Uncont | 22-09-2014 | Marine Contingencies PDF Uncont
MGT06 - Emergency response plan by hurricane or weather R.03 (15-May-13).pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Marine Contingencies PDF Uncont\MGT06 - Emergency response plan by hurricane or weather R.03 (15-May-13).pdf | Marine Contingencies PDF Uncont | 10-07-2013 | Marine Contingencies PDF Uncont
MGT08 - DP Operations Manual R.01 (07-Apr-14) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Marine Contingencies PDF Uncont\MGT08 - DP Operations Manual R.01 (07-Apr-14) nc.pdf | Marine Contingencies PDF Uncont | 22-07-2014 | Marine Contingencies PDF Uncont
MGT09 - Cargo Securing Manual BICENTENARIO Rev 00 -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Marine Contingencies PDF Uncont\MGT09 - Cargo Securing Manual BICENTENARIO Rev 00 -nc.pdf | Marine Contingencies PDF Uncont | 10-07-2013 | Marine Contingencies PDF Uncont
542.PT001 - Opn. manual emergencia grua Liebherr Babor R.01 (28-feb-13) NC.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT001 - Opn. manual emergencia grua Liebherr Babor R.01 (28-feb-13) NC.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT002 - Opn manual emergencia grua Liebherr Estribor R.01 (28-feb-13)NC.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT002 - Opn manual emergencia grua Liebherr Estribor R.01 (28-feb-13)NC.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT003 - Opn emergencia con unidad-grua Liebherr babor R.01 (28-feb-13)NC.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT003 - Opn emergencia con unidad-grua Liebherr babor R.01 (28-feb-13)NC.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT004 - Opn emergencia con unidad-grua Liebherr estribor R.01(28-feb-13)NC.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT004 - Opn emergencia con unidad-grua Liebherr estribor R.01(28-feb-13)NC.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT005 - Renovación de línea de carga del bloque principal de grua Liebher-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT005 - Renovación de línea de carga del bloque principal de grua Liebher-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT006 - Renovación de línea rápida de grua Liebher-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT006 - Renovación de línea rápida de grua Liebher-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT007 - Reemplazo de cable de pluma de grua Liebher-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT007 - Reemplazo de cable de pluma de grua Liebher-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT008 - Servicio de la grúa Liebher-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT008 - Servicio de la grúa Liebher-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT009 - Izajes grales. en cubierta grúas Liebher Rev.01 (14.may.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT009 - Izajes grales. en cubierta grúas Liebher Rev.01 (14.may.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT010 - Descarga y Carga de Embarcaciones R.01 (14.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT010 - Descarga y Carga de Embarcaciones R.01 (14.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT011 - Proc. operacional advertencia DP amarilla R.01 (24.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT011 - Proc. operacional advertencia DP amarilla R.01 (24.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT012 - Servicio a la articulación de la pluma de la grúa-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT012 - Servicio a la articulación de la pluma de la grúa-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT014 - Panel de control de lastre-Sentina emerg. R.01 (08.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT014 - Panel de control de lastre-Sentina emerg. R.01 (08.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT015 - Integridad de Estanqueidad R.01 (14.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT015 - Integridad de Estanqueidad R.01 (14.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT016 - Cálculos de estabilidad-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT016 - Cálculos de estabilidad-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT017 - Rutinas de lastrado diarias-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT017 - Rutinas de lastrado diarias-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT018 - Sondeo Manual de Tanques de Lastre-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT018 - Sondeo Manual de Tanques de Lastre-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT020 - Sondeo manual de silos-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT020 - Sondeo manual de silos-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT021 - Descarga a granel de los silos de columna a las embarcaciones de suministro-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT021 - Descarga a granel de los silos de columna a las embarcaciones de suministro-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT022 - Relleno de tanques de Equipo de Respiración Autónoma (ERA)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT022 - Relleno de tanques de Equipo de Respiración Autónoma (ERA)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT023 - Lanzamiento de los Botes Salvavidas en Practicas y Pruebas d....pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT023 - Lanzamiento de los Botes Salvavidas en Practicas y Pruebas d....pdf | Proc Marina PDF No cont | 30-10-2015 | Proc Marina PDF No cont
542.PT024 - Lanzamiento y Recuperación de los Botes Salvavidas R.01 (29)NC.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT024 - Lanzamiento y Recuperación de los Botes Salvavidas R.01 (29)NC.pdf | Proc Marina PDF No cont | 30-10-2015 | Proc Marina PDF No cont
542.PT025 - Lanzamiento de balsas salvavidas-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT025 - Lanzamiento de balsas salvavidas-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT026 - Mantenimiento de bote salvavidas-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT026 - Mantenimiento de bote salvavidas-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT027 - Rellenado de los cilindros de aire del bote salvavidas-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT027 - Rellenado de los cilindros de aire del bote salvavidas-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT028 - Procedimiento Lanzamiento y Recuperación del Bote de Rescate....pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT028 - Procedimiento Lanzamiento y Recuperación del Bote de Rescate....pdf | Proc Marina PDF No cont | 30-10-2015 | Proc Marina PDF No cont
542.PT029 - Actualización los libros de bitácora y registros R.01 (14.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT029 - Actualización los libros de bitácora y registros R.01 (14.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT030 - Movimiento de plataforma con BOP suspendido R.01 (14.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT030 - Movimiento de plataforma con BOP suspendido R.01 (14.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT031 - Movimiento de plataforma en modo PD R.01 (14.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT031 - Movimiento de plataforma en modo PD R.01 (14.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT032 - Operaciones de embarcaciones de suministro-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT032 - Operaciones de embarcaciones de suministro-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT033 - Uso de la K-ECDIS y estación de planeación-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT033 - Uso de la K-ECDIS y estación de planeación-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT034 - Silencio de radio Rev.01 (14.May.12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT034 - Silencio de radio Rev.01 (14.May.12)-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT035 - Instalaciónactualización de las bases de datos de ECDIS-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT035 - Instalaciónactualización de las bases de datos de ECDIS-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT036 - Llegada a la ubicación de perforación-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT036 - Llegada a la ubicación de perforación-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
542.PT037 - Elevación y bajada de transductor-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\11 - Marina - Marine\Proc Marina PDF No cont\542.PT037 - Elevación y bajada de transductor-nc.pdf | Proc Marina PDF No cont | 10-07-2013 | Proc Marina PDF No cont
